Player,<5Ft FGM,<5Ft FGA,<5Ft FG%,5-9 Ft FGM,5-9 Ft FGA,5-9 Ft FG%,10-14 Ft FGM,10-14 Ft FGA,10-14 Ft FG%,15-19 Ft FGM,15-19 Ft FGA,15-19 Ft FG%,20-24 Ft FGM,20-24 Ft FGA,20-24 Ft FG%,25-29 Ft FGM,25-29 Ft FGA,25-29 Ft FG%,Year
Don Reid,2.9,5.4,0.53,0.9,2.2,0.405,1,2.6,0.381,1.5,3.2,0.463,1.3,3.7,0.364,0.3,1,0.364,1996
Donald Royal,5.6,9.6,0.582,1.1,2.3,0.459,1.1,3.1,0.357,1.5,3.7,0.413,2.1,5.2,0.399,0.2,1,0.227,1996
Donald Whiteside,4.1,6.9,0.597,0.8,1.7,0.474,1,2.3,0.423,0.6,2,0.313,1.1,3,0.378,0,0.5,0,1996
Donnie Boyce,2.5,4.5,0.545,0.4,1.1,0.353,0.7,1.7,0.423,1.3,2.5,0.531,1,3.2,0.296,0.3,0.8,0.4,1996
Donny Marshall,2.8,4.7,0.583,0.9,2,0.446,0.8,2.2,0.341,1.1,2.4,0.445,1.5,4,0.385,0.3,0.8,0.375,1996
Dontonio Wingfield,3.5,7.2,0.487,0.9,2.3,0.378,0.8,2.2,0.355,1.2,3.1,0.385,1.7,4.7,0.368,0.4,1.3,0.286,1996
Donyell Marshall,5.8,10,0.582,1.2,3,0.412,0.9,2.8,0.314,2.6,5.7,0.46,3.1,7.4,0.422,0.4,1.1,0.381,1996
Doug Christie,14.5,24.7,0.589,2.9,6.9,0.42,3,7.4,0.398,3.3,8,0.409,5,13.6,0.364,0.6,1.7,0.376,1996
Doug Overton,4,7.7,0.523,0.7,1.6,0.461,1.1,2.4,0.434,1,2.8,0.349,1.3,3.2,0.388,0.7,2.8,0.261,1996
Doug West,9.7,18.2,0.532,2.5,5.3,0.483,1.7,4.7,0.363,3.1,7.6,0.41,3.9,9.6,0.402,0.3,0.7,0.48,1996
Duane Causwell,4.3,7.2,0.59,1.3,3.1,0.405,1.3,3.1,0.423,1.4,3.2,0.452,1.5,3.9,0.382,0.2,0.8,0.182,1996
Duane Ferrell,5.4,10,0.538,1.1,2.8,0.386,1.2,3,0.397,2.5,5.7,0.433,2.5,6.5,0.381,0.3,0.9,0.267,1996
Dwayne Schintzius,2,4.4,0.455,1.2,1.5,0.75,0.5,1.3,0.357,1,2.9,0.343,1.1,1.9,0.556,0.2,0.8,0.25,1996
Earl Cureton,2.6,4.3,0.59,0.2,1,0.167,0.3,1.5,0.222,0.3,2.2,0.154,0.8,2.4,0.333,0.4,0.8,0.5,1996
Ed O'Bannon,4.3,7.6,0.564,0.9,2.1,0.447,0.9,2.2,0.402,1.7,3.8,0.435,1.7,4.4,0.395,0.3,0.8,0.345,1996
Ed Pinckney,3.1,5.1,0.597,1.1,3.1,0.365,0.9,2.4,0.381,1,1.7,0.556,1.3,3,0.436,0.3,0.8,0.364,1996
Eddie Johnson,5.7,10.7,0.536,1.5,3.3,0.439,1.5,3.4,0.443,2,5.6,0.358,2.3,7.5,0.31,0.4,1,0.37,1996
Eddie Jones,12.6,23.8,0.529,2.7,7.2,0.382,3.3,8.4,0.397,3.8,9.1,0.414,4.7,12.3,0.382,0.4,1.5,0.274,1996
Elden Campbell,10.8,20.5,0.523,2.6,6.4,0.404,2.9,7.4,0.389,3.5,8.6,0.408,4.2,10.9,0.384,0.5,1.4,0.329,1996
Eldridge Recasner,5.9,11.2,0.528,1.3,2.9,0.442,1.6,3.5,0.446,1.8,4.5,0.403,2.1,5.9,0.35,0.4,0.9,0.4,1996
Elliot Perry,7.7,12.7,0.609,1.4,3.3,0.424,1.7,4.3,0.405,1.9,4.6,0.407,1.5,4.3,0.345,0.4,1.7,0.256,1996
Elmer Bennett,3.1,6.2,0.5,0.9,1.8,0.5,1.3,2.2,0.615,1.3,3.6,0.345,1.3,3.3,0.4,0,0,0,1996
Elmore Spencer,3,3,1,0,0,0,0,0,0,1,1,1,3,3,1,0,0,0,1996
Emanual Davis,4.7,9.7,0.484,1.6,4.1,0.4,0.7,2.2,0.31,2.8,7.1,0.402,2.5,6.4,0.398,0.5,1.4,0.364,1996
Ennis Whatley,3,4.7,0.643,0.5,2,0.25,0.3,1.3,0.25,1.3,1.7,0.8,1,3.3,0.3,0,1,0,1996
Eric Leckner,1.7,3.8,0.453,0.7,1.3,0.579,0.4,1.6,0.25,1.2,2.5,0.458,0.8,1.8,0.455,0.2,0.6,0.333,1996
